,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.8939631823029383,0.8631863798514819,0.8945352592184644,0.8945352592184644,0.8685171006790149,0.8959929126810235,0.8945352592184644,0.8614142028380882,0.8945352592184644,0.8945352592184644,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.8971753438353283,0.8668479435774894,0.8976268555836484,0.8976268555836483,0.8716211727620932,0.8987661850331434,0.8976268555836483,0.8651114978805127,0.8976268555836483,0.8976268555836483,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.9541418015167209,0.9414715538853722,0.9542894334993867,0.9542894334993867,0.9430835189802426,0.9546602280262507,0.9542894334993867,0.9408515888917696,0.9542894334993867,0.9542894334993867,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.9515904354207123,0.9369263344239485,0.9516985005131801,0.95169850051318,0.9385731763337076,0.9519857721496695,0.95169850051318,0.9360488300518524,0.95169850051318,0.95169850051318,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.519396435914813,0.4251320485577164,0.5488772623726438,0.5488772623726438,0.455935663299349,0.5421093471040158,0.5488772623726438,0.44964559255651615,0.5488772623726438,0.5488772623726438,MSI,34,resnet50_randominit
resnet50_randominit_224,0.8369198733793939,0.7914260377731445,0.8394247377775552,0.8394247377775552,0.8102895448621953,0.8415038707445252,0.8394247377775552,0.7820498632631626,0.8394247377775552,0.8394247377775552,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.7224817901190468,0.653551164289584,0.7251858712794452,0.7251858712794452,0.6797226647595317,0.7284650844156536,0.7251858712794452,0.6399166792440122,0.7251858712794452,0.7251858712794452,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.7401076859432729,0.674767839023536,0.741882994968333,0.741882994968333,0.6961857192787368,0.74555708840802,0.741882994968333,0.6636212054237741,0.741882994968333,0.741882994968333,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.7063145758500636,0.6468197989924913,0.7133827321200592,0.7133827321200591,0.6723305892682666,0.7109442555190252,0.7133827321200591,0.6364613266414478,0.7133827321200591,0.7133827321200591,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5020447024934752,0.4119283082610753,0.512967181515508,0.512967181515508,0.4321560327551556,0.5072437954674643,0.512967181515508,0.4099737920226287,0.512967181515508,0.512967181515508,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.4204357103545194,0.3191811613675942,0.46193706661326256,0.46193706661326256,0.33854810816829267,0.4248913544324985,0.46193706661326256,0.3365071200566876,0.46193706661326256,0.46193706661326256,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.7153554582657589,0.6345091143466529,0.7200290384759808,0.7200290384759807,0.6520023385387403,0.7168153667839041,0.7200290384759807,0.6258306960771014,0.7200290384759807,0.7200290384759807,RGB,224,resnet50_randominit
