,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_120,0.7053406542377822,0.5799466737984039,0.7173953640804298,0.6919035227895776,0.5924715046158342,0.6979289607656454,0.7440441295698053,0.7050718230525652,0.7392714628131556,0.6571965262992637,0.5345614612172006,0.6571965262992637,0.2867176203263789,MSI,120,mosaiks_512_3
mosaiks_512_3_224,0.7056326137148421,0.580558193906364,0.7178227037092815,0.6920409152616557,0.5930115235706648,0.6981169040030409,0.7439772645827945,0.7053595655271032,0.739018519719468,0.6575821258101032,0.5350506609141683,0.6575821258101032,0.28614558339821716,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_120,0.7522824054491372,0.6476897177885323,0.7623665600085423,0.729349192806278,0.6489604609814114,0.7334568109109277,0.7753434831043446,0.7443659100100135,0.7726025753269312,0.6958638943898026,0.5924593953454235,0.6958638943898026,0.3131266585098438,MSI,120,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.7526694511493399,0.6475420392826053,0.7632333262283884,0.7302055709775614,0.6494599733739558,0.7343229992183796,0.7754209517276018,0.7432871980188152,0.7724441387208357,0.6973622239176359,0.5930460770774164,0.6973622239176359,0.3128565299604341,MSI,224,mosaiks_zca_512_3
resnet50_randominit_120,0.5957826756763777,0.4554416535490151,0.606196745358765,0.5889382987591127,0.4689086349364142,0.6009630217455039,0.6787358712988003,0.6345885275742084,0.6709602710183595,0.5391810417246213,0.40350728529051344,0.5391810417246213,0.23536936106653109,MSI,120,resnet50_randominit
resnet50_randominit_224,0.6503079116618297,0.5217331270083934,0.6627039026587531,0.6387732344267136,0.533670305077094,0.6487297489655837,0.7167857916395928,0.6893486147323366,0.7108016821611686,0.5924764026870777,0.46560710423755064,0.5924764026870777,0.2576946911795084,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_120,0.5285595492078741,0.3884823317312208,0.5369441577042656,0.5259268127618641,0.40101451355289736,0.5421791247808209,0.6251902272653684,0.546631284694807,0.602876605303625,0.47862814711172197,0.34589956743959144,0.47862814711172197,0.19963294297109624,RGB,120,mosaiks_512_3
mosaiks_512_3_rgb_224,0.526765315819348,0.38535646567338705,0.5353256539967235,0.5252089630800123,0.39862158655282554,0.5414622846117608,0.6216229723554947,0.5375127348300867,0.5985770910440043,0.4796141801465829,0.3452536359289409,0.4796141801465829,0.19820285065069201,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_120,0.5654014810456245,0.433292705486815,0.5702778068773756,0.561674068661822,0.449032144197685,0.5721820881513452,0.6482216194732842,0.5952774731704357,0.6373570627625574,0.5121092017814698,0.39032585233782535,0.5121092017814698,0.20861074476030064,RGB,120,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5227758862792944,0.3928909446937394,0.5270376422842271,0.5179455584109167,0.40637310540746646,0.5312343686589843,0.6192957813628879,0.549649051698556,0.6023388592157539,0.4650991128456968,0.3481962008554928,0.4650991128456968,0.19088554494462365,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_120,0.5171904104371743,0.36417711244005757,0.5245342800651567,0.504179266527719,0.36286091660218733,0.5220286991868617,0.6233473270476322,0.5225202206223045,0.6002965183045423,0.44904164750145287,0.3104124083621776,0.44904164750145287,0.1986239333894777,RGB,120,resnet50_randominit
resnet50_randominit_rgb_224,0.5703431212596836,0.42292379999276003,0.5809266863373168,0.5613327965681651,0.4330442351296343,0.5753949765250168,0.6625220686388494,0.5994238852358074,0.6488240621837278,0.5085203720484424,0.3732233153178562,0.5085203720484424,0.22330891583112197,RGB,224,resnet50_randominit
