,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_rgb_34,0.9947312618402486,0.9916386603942732,0.9947283950617284,0.9947283950617284,0.9916646308149217,0.9947414876646592,0.9947283950617284,0.9916205052382945,0.9947283950617284,0.9947283950617284,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.9935708522283557,0.9896022556349747,0.993567901234568,0.993567901234568,0.9893249987153491,0.9935797917168037,0.993567901234568,0.9898873906544895,0.993567901234568,0.993567901234568,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.9961995008968945,0.9945567418912628,0.9961975308641975,0.9961975308641975,0.9945968316959609,0.9962097850362206,0.9961975308641975,0.9945273428573884,0.9961975308641975,0.9961975308641975,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.9877663398866592,0.9795104841299261,0.9877654320987654,0.9877654320987654,0.9808860974894889,0.9878000182762613,0.9877654320987654,0.9782243313882552,0.9877654320987654,0.9877654320987654,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.9101894323132772,0.880614696553514,0.9098518518518518,0.9098518518518518,0.8915547848760927,0.9265962274915994,0.9098518518518518,0.8861799827094314,0.9098518518518518,0.9098518518518518,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.9848367076081322,0.9744161177972385,0.9848024691358025,0.9848024691358025,0.9746475280161778,0.9849309713480625,0.9848024691358025,0.9742773454186615,0.9848024691358025,0.9848024691358025,RGB,224,resnet50_randominit
