,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.4527959175499259,0.3297691911084422,0.45397147411348254,0.45397147411348254,0.3515147865607383,0.46680757788943184,0.45397147411348254,0.32811656485547575,0.45397147411348254,0.45397147411348254,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.45169418290301305,0.32497420663726184,0.4542405862504399,0.4542405862504399,0.3439847428515709,0.46472430181824664,0.4542405862504399,0.32529331739427514,0.4542405862504399,0.4542405862504399,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.4705815596080245,0.3596540847421264,0.47543834226923637,0.47543834226923637,0.3790003140619162,0.47808267097414714,0.47543834226923637,0.3582738239178124,0.47543834226923637,0.47543834226923637,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.44299204907143525,0.3215066365313757,0.45150806301364194,0.45150806301364194,0.3344009259065332,0.44888922827742644,0.45150806301364194,0.3222203319154482,0.45150806301364194,0.45150806301364194,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.33530109819675274,0.22180610581064578,0.3538203572981141,0.3538203572981141,0.26636133367043824,0.3886712156788467,0.3538203572981141,0.23007528780170236,0.3538203572981141,0.3538203572981141,MSI,34,resnet50_randominit
resnet50_randominit_224,0.45704797378819445,0.322017710128065,0.46187923075330706,0.461879230753307,0.3512413633210591,0.46993220472318215,0.461879230753307,0.3183072836519997,0.461879230753307,0.461879230753307,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.31412686569584064,0.20365488751020427,0.3091684434968017,0.3091684434968017,0.2232826107872105,0.3411151604233696,0.3091684434968017,0.20175037924116077,0.3091684434968017,0.3091684434968017,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.3173831995962118,0.20901707108914347,0.31254269567557497,0.31254269567557497,0.23031336096776514,0.3461598477876494,0.31254269567557497,0.2068710777656872,0.31254269567557497,0.31254269567557497,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.3399587415758556,0.22874322980935016,0.3481068996211729,0.3481068996211729,0.24010147108420532,0.34968850888322933,0.3481068996211729,0.2340832914000749,0.3481068996211729,0.3481068996211729,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.2676528551911733,0.17374958902634052,0.27186536112778686,0.27186536112778686,0.18544234148596453,0.28058952596296655,0.27186536112778686,0.17788358292432124,0.27186536112778686,0.27186536112778686,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.25059151261390067,0.15514331707455087,0.28811559401329,0.28811559401329,0.19484906846602473,0.30162464107669307,0.28811559401329,0.17591654351624728,0.28811559401329,0.28811559401329,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.33805487096360537,0.22311851828231327,0.34189661953754114,0.34189661953754114,0.24739443024022142,0.3661752438038283,0.34189661953754114,0.223821854961584,0.34189661953754114,0.34189661953754114,RGB,224,resnet50_randominit
