,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.5140584542644089,0.37534094595722617,0.520608036240962,0.4981728145526802,0.372889702284346,0.5244393329499712,0.6625766871165644,0.5982798327513861,0.6297530254974877,0.4339642592788411,0.2948963441429506,0.4339642592788411,0.2529738302934179,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.513333244761871,0.3722994519623196,0.5202930599964368,0.49944514780641347,0.3768663147419582,0.525458248472505,0.6599520383693046,0.5856289945341505,0.6244655803189901,0.4365020619646822,0.29966299141512187,0.4365020619646822,0.2559476605868358,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.552457326555159,0.43211821796895994,0.5608701926678243,0.5366331571660801,0.42770062254837776,0.5595178926441351,0.6782647989154993,0.6403632209046489,0.651825534600448,0.47615522893095064,0.3439870792221683,0.47615522893095064,0.2726011102299762,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.5488476229773336,0.42738816560034665,0.5555037906124575,0.5342197992145553,0.4253384249490741,0.5560067470481664,0.6793893129770993,0.6418406751637918,0.6530979936989272,0.4705509146663847,0.3412046502031046,0.4705509146663847,0.27022204599524186,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.36265058978622183,0.22038141755375756,0.34715073207750297,0.3231556840145691,0.18133426130543734,0.3672459984886996,0.5241176470588236,0.3440304336885507,0.47420092097265726,0.28264777413556097,0.15039297472234203,0.28264777413556097,0.16752577319587628,MSI,34,resnet50_randominit
resnet50_randominit_224,0.4877566172917348,0.34633990536367865,0.48813149393665023,0.4668039737313687,0.3391271963969353,0.4958731396633522,0.6433389544688027,0.5538394381975676,0.6062254874042095,0.40340488527017027,0.2669682332158584,0.40340488527017027,0.2436558287073751,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.3331798330957038,0.2191659120460162,0.3219908455636344,0.30752974190640925,0.1991329848378817,0.3322697003329634,0.48296027424884047,0.3888417860657738,0.4351207328552681,0.25325155969123403,0.1516271884276187,0.25325155969123403,0.13203806502775575,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.3259688767173133,0.20817564503716623,0.314497192382312,0.2995253026017418,0.18705981568953714,0.3259186946516979,0.4785012285012285,0.3782015386244486,0.42153240331907577,0.2471185365337845,0.14326284423984367,0.2471185365337845,0.13104678826328311,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.32399883630435244,0.21413563095404117,0.3119761491694238,0.294519694949487,0.18526453851363645,0.31757848163494623,0.472814721873693,0.36760187540624945,0.4282208791723301,0.23908216136195412,0.13971349236708208,0.23908216136195412,0.12866772402854876,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.30287975882886303,0.1901263356706188,0.28769953208082943,0.27214275305940105,0.1623037354268458,0.29412599318955734,0.4468635481784867,0.3365564967922458,0.40397953558776867,0.21920270698953156,0.12284940703910406,0.21920270698953156,0.1161776367961935,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.3056688922702028,0.18406965478622117,0.290321012485637,0.2595399801547424,0.14106122725737494,0.2928136771950159,0.46491833448355185,0.29607338122357696,0.3944969993624466,0.21370413450354234,0.11073136512401098,0.21370413450354234,0.11558287073750992,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.35225242243409594,0.23615973175277732,0.34350764088634356,0.32476410650882837,0.20641739695792657,0.3506295835062958,0.5071042625575345,0.4046242622910229,0.47079008545105844,0.2679496669133975,0.15840187774342065,0.2679496669133975,0.1514670896114195,RGB,224,resnet50_randominit
