,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_rgb_34,0.9935353144540958,0.9903429019194053,0.9935308641975309,0.9935308641975309,0.9902081889016028,0.9935518294576193,0.9935308641975309,0.9904890473387953,0.9935308641975309,0.9935308641975309,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.9921157596088059,0.987174992549713,0.9921111111111112,0.9921111111111112,0.9871807600706329,0.9921315721463776,0.9921111111111112,0.987180716108639,0.9921111111111112,0.9921111111111112,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.9966066962452091,0.9949890077560205,0.9966049382716049,0.9966049382716049,0.994888035563455,0.9966173523955187,0.9966049382716049,0.9950987153793204,0.9966049382716049,0.9966049382716049,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.9889284779167914,0.9825941504852626,0.9889259259259259,0.9889259259259259,0.9839095524062637,0.9889587228854388,0.9889259259259259,0.9813608607836216,0.9889259259259259,0.9889259259259259,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.9163943131876503,0.8894741810696755,0.9163086419753086,0.9163086419753086,0.9008674398213752,0.9302907916684147,0.9163086419753086,0.892151408116249,0.9163086419753086,0.9163086419753086,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.9861941602139669,0.976310721068881,0.9861604938271605,0.9861604938271605,0.9761693243751447,0.9862860617045822,0.9861604938271605,0.9765454462368698,0.9861604938271605,0.9861604938271605,RGB,224,resnet50_randominit
