,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
imagestats_120,0.6996599672697865,0.5739465078511311,0.712896173556514,0.6871364727016228,0.584532417594197,0.6941646422654321,0.7340960044224686,0.6901812320883473,0.7277968900833127,0.6583533248317822,0.5339598426114242,0.6583533248317822,0.28359525209349623,MSI,120,imagestats
mosaiks_512_3_120,0.7079029634627364,0.5853028701320874,0.7198961281763232,0.6939115499052755,0.6000742343119025,0.6997347937959594,0.7461472228808166,0.7116948607093694,0.7414874637646495,0.6587582043181637,0.5407641098346166,0.6587582043181637,0.2883781164095149,MSI,120,mosaiks_512_3
mosaiks_512_3_224,0.7102479947222203,0.5870076138735476,0.7224806860604907,0.6960611830135988,0.6019801957445979,0.7018423650499729,0.7469700125271603,0.7111645413445343,0.7422621402211451,0.6618567718159809,0.5437808171501555,0.6618567718159809,0.2891964470150795,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_120,0.7494677406646296,0.6444463905071426,0.7596100456551041,0.727390758916916,0.6452674226083613,0.7315746366625231,0.7737394215853415,0.744696667920906,0.771047398908497,0.693767885620168,0.5875685975280653,0.693767885620168,0.31161711661608377,MSI,120,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.7507393618475935,0.6448829047450072,0.7612540970076456,0.7285022286798323,0.6484082556429491,0.7326444632977297,0.7737208390511664,0.7444454098212315,0.7708447341702749,0.6957096545854667,0.5918858346120374,0.6957096545854667,0.31234805269095706,MSI,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_120,0.6200646172633085,0.4745399142145397,0.6296227931385949,0.613286762281582,0.4817200456411641,0.6260784007871275,0.6873281366805309,0.6443289047440928,0.6800508173063474,0.5748517507594934,0.4237025818354052,0.5748517507594934,0.23788791254190966,MSI,120,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_224,0.6491527962451676,0.5109412334414216,0.6588474168881744,0.640022736654762,0.5197016217462985,0.6503616312180251,0.7075783977768133,0.6764844195005826,0.7022804815427919,0.6017060024072427,0.4590297002683167,0.6017060024072427,0.2507349085535411,MSI,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_120,0.6330712872630991,0.49837973560893406,0.6464172944996658,0.6236083376283533,0.510152245527563,0.6360685703218035,0.7057770703631321,0.6631397438112616,0.6966376264453398,0.578892282776647,0.4472675903388335,0.578892282776647,0.24651613620834856,MSI,120,resnet50_pretrained_moco
resnet50_pretrained_moco_224,0.6888712329465219,0.5646021084216865,0.7016663178679784,0.6747696877400341,0.5742751986342599,0.6832903070917719,0.7395824978906744,0.702722723735836,0.7344317125084708,0.6349612059349273,0.5111155435928915,0.6349612059349273,0.27291722943447794,MSI,224,resnet50_pretrained_moco
resnet50_randominit_120,0.6057261036291444,0.46341111201509877,0.6159168095257799,0.595764533344389,0.47646648200752667,0.607353862405267,0.6862017881366811,0.6429249879022183,0.6792404801158781,0.5447584632206923,0.41164953609433946,0.5447584632206923,0.2391591057156023,MSI,120,resnet50_randominit
resnet50_randominit_224,0.6545981362427696,0.5219585047714134,0.6665140829298852,0.6429145250535071,0.5340697180704164,0.652208407288143,0.7192133764517608,0.6865756365357111,0.7136187911943108,0.5966243517108224,0.46614124505872817,0.5966243517108224,0.2599748939348196,MSI,224,resnet50_randominit
imagestats_rgb_120,0.6069116849748529,0.464037041130316,0.6200215459150091,0.6057122498116915,0.4803571297265951,0.6167238912092061,0.6729296376377419,0.6101871034695548,0.6613617789751237,0.569183437950153,0.42758468978619363,0.569183437950153,0.23416967250885862,RGB,120,imagestats
mosaiks_512_3_rgb_120,0.5308082358939157,0.3903984059394246,0.5391972231912898,0.5286505742637865,0.4035547939764144,0.5446471143687887,0.6270941351656829,0.5447604133848164,0.6050789436007669,0.48136039507424166,0.34840748622793544,0.48136039507424166,0.20157945751831313,RGB,120,mosaiks_512_3
mosaiks_512_3_rgb_224,0.5286084060044121,0.3864195587528624,0.5370704788159649,0.5268848511621704,0.4000076770186422,0.5429378724250797,0.6230421584678987,0.5397743500083919,0.6004491200508307,0.48108496685221347,0.34635435915614254,0.48108496685221347,0.19948198878172024,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_120,0.5663405795320008,0.4339837146164989,0.5716312950098152,0.5627684599437799,0.4491211194539987,0.5734379010233925,0.6486676309421157,0.5946157666085062,0.6375800838661586,0.5138443995802474,0.39091177573629593,0.5138443995802474,0.21046191981949056,RGB,120,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5238577396727514,0.3945224950889966,0.5284261130207965,0.5204178070112198,0.4080424366579358,0.533637224703164,0.6209423892381927,0.5465106389003014,0.6039707651769698,0.46785614934819914,0.35018038350369823,0.46785614934819914,0.19089348990195923,RGB,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_rgb_120,0.6575249030501679,0.5258055937425701,0.6662314673751439,0.6452410327787488,0.5336839356163111,0.653757382898916,0.7159595707920938,0.6979097081453064,0.713249206598127,0.6014994312407215,0.4689440433435923,0.6014994312407215,0.2565267824511782,RGB,120,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_rgb_224,0.6817052540139422,0.5574413515252813,0.690697030267258,0.6673183972687935,0.565717633647961,0.6747269612392034,0.7332986381605956,0.7078368622762548,0.7311273134307554,0.6248199387998491,0.5008260276028537,0.6248199387998491,0.27036689812975706,RGB,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_rgb_120,0.6980166345641127,0.5815487303397411,0.7064714710193768,0.6833940945046547,0.5916956276967194,0.6898912463166216,0.7425636955313913,0.6972961372865241,0.7379627519868879,0.6441963142195328,0.534178477764029,0.6441963142195328,0.27694532280361656,RGB,120,resnet50_pretrained_moco
resnet50_pretrained_moco_rgb_224,0.740346679451304,0.6362622991738016,0.748135214599557,0.7209105374383016,0.6421461128271698,0.7255549921610455,0.7702516666924469,0.7304705679230121,0.7663762911189392,0.6857611872058083,0.5889120582831671,0.6857611872058083,0.30360859962182,RGB,224,resnet50_pretrained_moco
resnet50_randominit_rgb_120,0.5211661127724122,0.37045708694198415,0.5283021407967461,0.5093557425980558,0.3705719324291355,0.5259806813802851,0.6269669431568675,0.5317038393882733,0.6071313780668653,0.4530133224630995,0.3169408050402892,0.4530133224630995,0.20198465034242766,RGB,120,resnet50_randominit
resnet50_randominit_rgb_224,0.5734063688829543,0.4273761542340959,0.5841683365867502,0.5634721725457171,0.43730731247603155,0.5773757349844816,0.6655831196804016,0.6029945895635102,0.65275716342908,0.5098121304097546,0.376006956849328,0.5098121304097546,0.2255096690130774,RGB,224,resnet50_randominit
