Model,Preprocessing,Bands,Size,Overall Accuracy,Feature Postprocessing
Resnet50 Pretrained Imagenet,Divide,RGB,64,0.6355555555555555,None
Resnet50 Pretrained Imagenet,Divide,RGB,256,0.6931481481481482,None
Resnet50 Random,Divide,RGB,64,0.5577777777777778,None
Resnet50 Random,Divide,RGB,256,0.7168518518518519,None
Resnet18 Pretrained Moco,Divide,RGB,64,0.8966666666666666,None
Resnet18 Pretrained Moco,Divide,RGB,256,0.9424074074074074,None
Resnet50 Pretrained Moco,Divide,All,64,0.7774074074074074,None
Resnet50 Pretrained Moco,Divide,All,256,0.9337037037037037,None
Resnet50 Pretrained Imagenet,Divide,All,64,0.6477777777777778,None
Resnet50 Pretrained Imagenet,Divide,All,256,0.6240740740740741,None
Resnet50 Random,Divide,All,64,0.6796296296296296,None
Resnet50 Random,Divide,All,256,0.8235185185185185,None
Resnet18 Pretrained Moco,Divide,All,64,0.7905555555555556,None
Resnet18 Pretrained Moco,Divide,All,256,0.9161111111111111,None
Resnet50 Pretrained Moco,Standardization,RGB,64,0.6259259259259259,None
Resnet50 Pretrained Moco,Standardization,RGB,256,0.8253703703703704,None
Resnet50 Pretrained Imagenet,Standardization,RGB,64,0.8225925925925925,None
Resnet50 Pretrained Imagenet,Standardization,RGB,256,0.9166666666666666,None
Resnet50 Random,Standardization,RGB,64,0.5825925925925926,None
Resnet50 Random,Standardization,RGB,256,0.7394444444444445,None
Resnet18 Pretrained Moco,Standardization,RGB,64,0.6674074074074074,None
Resnet18 Pretrained Moco,Standardization,RGB,256,0.8233333333333334,None
Resnet50 Pretrained Moco,Standardization,All,64,0.7253703703703703,None
Resnet50 Pretrained Moco,Standardization,All,256,0.8659259259259259,None
Resnet50 Pretrained Imagenet,Standardization,All,64,0.7596296296296297,None
Resnet50 Pretrained Imagenet,Standardization,All,256,0.899074074074074,None
Resnet50 Random,Standardization,All,64,0.7812962962962963,None
Resnet50 Random,Standardization,All,256,0.8642592592592593,None
Resnet18 Pretrained Moco,Standardization,All,64,0.6861111111111111,None
Resnet18 Pretrained Moco,Standardization,All,256,0.8348148148148148,None
Resnet50 Pretrained Moco,Minmax,RGB,64,0.8777777777777778,None
Resnet50 Pretrained Moco,Minmax,RGB,256,0.9407407407407408,None
Resnet50 Pretrained Imagenet,Minmax,RGB,64,0.5614814814814815,None
Resnet50 Pretrained Imagenet,Minmax,RGB,256,0.6140740740740741,None
Resnet50 Random,Minmax,RGB,64,0.5496296296296296,None
Resnet50 Random,Minmax,RGB,256,0.715925925925926,None
