,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
imagestats_34,0.508622860704163,0.3803511262849771,0.5156122513967918,0.49465879610767505,0.387962650388505,0.5197186636523486,0.6398639245399722,0.5788226556608659,0.6093551705328507,0.4375594797504494,0.31153586019515017,0.4375594797504494,0.2507930214115781,MSI,34,imagestats
mosaiks_512_3_34,0.5141404906977709,0.37755140430177486,0.5199138758794282,0.4998597604740436,0.3800517527179617,0.5244404995879033,0.6548448385053831,0.5972360193080528,0.6244365019087604,0.43734799619329595,0.3019347465679114,0.43734799619329595,0.25,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.5174657299097497,0.3785774571523744,0.524048557575749,0.5006766399382322,0.37566242904855784,0.5263091082196127,0.6583042235630359,0.5843549707548185,0.6263878568201346,0.43840541397906313,0.29950135168178404,0.43840541397906313,0.25118953211736716,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.5551075232723226,0.43409183192443795,0.5632566095269562,0.5375507815655081,0.42355148595189096,0.5602735467827168,0.679843089921545,0.6297638714232145,0.65367692415892,0.4764724542666808,0.3418081317896867,0.4764724542666808,0.27240285487708166,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.553859391176628,0.4290429734720095,0.5610141552208895,0.5358283080662029,0.4279330522538295,0.5573893473368342,0.6817556201254015,0.6338263951386024,0.6554764037063346,0.4713968488949984,0.343258467074142,0.4713968488949984,0.27022204599524186,MSI,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_34,0.31738129524083686,0.19503501163170292,0.30686231722534363,0.2844153106405456,0.15386042920733128,0.3206548585138663,0.4819686041578278,0.35387050196178366,0.4032403117449369,0.24024532092629797,0.12281270455330333,0.24024532092629797,0.1211340206185567,MSI,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_224,0.41192584766867957,0.27399534464491615,0.4132686927304852,0.3824854038919934,0.2320071981899229,0.42003491338794147,0.5753172705536141,0.4450511198272353,0.5201669014502849,0.3307602833879666,0.18495329583120276,0.3307602833879666,0.17823156225218081,MSI,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_34,0.36847421847340317,0.2157379136586764,0.3624461621295097,0.335143599778608,0.17517486637266005,0.37654830718414534,0.5391133004926109,0.284096278324408,0.4466236435234189,0.28930950618589407,0.14505792615470597,0.28930950618589407,0.1578112609040444,MSI,34,resnet50_pretrained_moco
resnet50_pretrained_moco_224,0.43712977945170317,0.2784888964941486,0.44144521901379097,0.41277296145014963,0.2511421650311271,0.4518254909713984,0.5996151827881756,0.4908644579316091,0.5388042159370537,0.3624828169609813,0.20358423230671513,0.3624828169609813,0.19666931007137192,MSI,224,resnet50_pretrained_moco
resnet50_randominit_34,0.3650913960343318,0.22125352638034546,0.34894104459217035,0.3214996741530016,0.18105880536446156,0.36613303891802373,0.5269116186693148,0.34148461996848084,0.4752518047812589,0.28053293856402667,0.14919892737991577,0.28053293856402667,0.15721649484536082,MSI,34,resnet50_randominit
resnet50_randominit_224,0.48786730649739335,0.35100512279793705,0.49152365110089347,0.466511014707497,0.3482113650833344,0.4953760589794994,0.6376956376956376,0.5721710679013439,0.6019982889027223,0.404991011948821,0.2743928039484093,0.404991011948821,0.23770816812053924,MSI,224,resnet50_randominit
imagestats_rgb_34,0.37710000497921764,0.25302447840402115,0.37191903741221893,0.3605161650380909,0.24093877571817943,0.38394130833503154,0.5368541033434651,0.4390903138609396,0.49817420542155955,0.29882626625779846,0.18453690547729054,0.29882626625779846,0.15503568596352102,RGB,34,imagestats
mosaiks_512_3_rgb_34,0.3333426749498445,0.21874535956691837,0.32203849579411775,0.3083368423844742,0.1993760054873641,0.33307910975525207,0.48368908578332664,0.43848560041502554,0.44404295908655844,0.253991752141271,0.15178163456697435,0.253991752141271,0.14095955590800952,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.32478972804690415,0.20674443359393088,0.31320868651582345,0.2968782791779408,0.18405705687180376,0.323143495254048,0.4752617532334223,0.37078362423590533,0.4189125032857823,0.24479221740509674,0.14111340326365146,0.24479221740509674,0.13183980967486122,RGB,224,mosaiks_512_3
