,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.8944789072240318,0.8645069770117133,0.8950859889353393,0.8950859889353393,0.8695348511025186,0.896638605438509,0.8950859889353393,0.8632198133516192,0.8950859889353393,0.8950859889353393,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.8975310498423718,0.8675020842808536,0.8980774526247277,0.8980774526247277,0.8721640197494755,0.8991789819150163,0.8980774526247277,0.8660842659698321,0.8980774526247277,0.8980774526247277,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.9530513924958494,0.9399003787921679,0.9531754574811625,0.9531754574811625,0.9409899725133991,0.9535809733735507,0.9531754574811625,0.9398073936889197,0.9531754574811625,0.9531754574811625,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.9519909862470941,0.9378930374120743,0.9521115478008361,0.9521115478008361,0.9392878272977618,0.9523348875368923,0.9521115478008361,0.9372019754878096,0.9521115478008361,0.9521115478008361,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.51901227217764,0.4258942262914185,0.5482389165644479,0.5482389165644479,0.4582102604454533,0.540217081804625,0.5482389165644479,0.4462838092270324,0.5482389165644479,0.5482389165644479,MSI,34,resnet50_randominit
resnet50_randominit_224,0.8362023236232858,0.789584143535655,0.8390242070743735,0.8390242070743735,0.8079612317999522,0.8403163187478917,0.8390242070743735,0.7804038249657669,0.8390242070743735,0.8390242070743735,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.7298714391527018,0.6617306195088087,0.7317946278819436,0.7317946278819436,0.6847350544155238,0.7360888168058951,0.7317946278819436,0.6500414685328763,0.7317946278819436,0.7317946278819436,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.7453609614088427,0.6809661827396309,0.7467769794978347,0.7467769794978346,0.7010083271005018,0.7509122459489912,0.7467769794978346,0.6707316677775705,0.7467769794978346,0.7467769794978346,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.6998432574572908,0.6397468436585816,0.706986757453626,0.706986757453626,0.6645851001186046,0.7044421588015773,0.706986757453626,0.630113590845893,0.706986757453626,0.706986757453626,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5115362634466176,0.4226755763831645,0.5217413072320826,0.5217413072320826,0.4426064598927901,0.5163052269599686,0.5217413072320826,0.41998505860145263,0.5217413072320826,0.5217413072320826,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.41883623685258325,0.3148918797208446,0.46003454577314945,0.46003454577314945,0.32936421147148726,0.42064146158482235,0.46003454577314945,0.3344330234259604,0.46003454577314945,0.46003454577314945,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.6915253937429321,0.6045424936023509,0.697524219590958,0.697524219590958,0.6242912103759645,0.6924510565512189,0.697524219590958,0.5946790765861352,0.697524219590958,0.697524219590958,RGB,224,resnet50_randominit
