,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
imagestats_34,0.48007100795842106,0.3479359936378148,0.47930941685470013,0.47930941685470013,0.36447403276612533,0.4978964084636963,0.47930941685470013,0.35194579506554163,0.47930941685470013,0.47930941685470013,MSI,34,imagestats
mosaiks_512_3_34,0.44785139072911023,0.32466330946793304,0.4485271285734987,0.4485271285734987,0.35071333374156016,0.4638302112107981,0.4485271285734987,0.32268443180398737,0.4485271285734987,0.4485271285734987,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.4473404542557996,0.32156876232199477,0.4496863808557766,0.4496863808557766,0.34197562103465673,0.4621003461225981,0.4496863808557766,0.3209784296131435,0.4496863808557766,0.4496863808557766,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.4710903685195987,0.36076808211044353,0.475955865609539,0.475955865609539,0.3802916261635802,0.4779431123158729,0.475955865609539,0.3591786346273328,0.475955865609539,0.475955865609539,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.44087480318009636,0.31992597593786265,0.4482373155029291,0.44823731550292917,0.3320553554783619,0.44662382706450793,0.44823731550292917,0.32073174338113963,0.44823731550292917,0.44823731550292917,MSI,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_34,0.40595361369500077,0.2653081120826222,0.42111909247107043,0.42111909247107043,0.28180084619357254,0.41067630345876743,0.42111909247107043,0.27246278862619067,0.42111909247107043,0.42111909247107043,MSI,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_224,0.48606643341070016,0.3421497083001025,0.5032396961102946,0.5032396961102946,0.36837280222138324,0.49386729304351024,0.5032396961102946,0.3517029317910709,0.5032396961102946,0.5032396961102946,MSI,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_34,0.4853957180243594,0.36387359389790164,0.49359306104705325,0.49359306104705325,0.39742187039712057,0.5138719803583609,0.49359306104705325,0.36659618816413486,0.49359306104705325,0.49359306104705325,MSI,34,resnet50_pretrained_moco
resnet50_pretrained_moco_224,0.5300323559584393,0.40055929213103686,0.5353882460098951,0.5353882460098951,0.41254003231667563,0.5372236315032705,0.5353882460098951,0.4017573588543819,0.5353882460098951,0.5353882460098951,MSI,224,resnet50_pretrained_moco
resnet50_randominit_34,0.33962973266344526,0.22619255033847452,0.35671848800380895,0.35671848800380895,0.26985115276387356,0.3910287874127674,0.35671848800380895,0.23285953678321006,0.35671848800380895,0.35671848800380895,MSI,34,resnet50_randominit
resnet50_randominit_224,0.44764329601422836,0.3149472908895197,0.4519634835531082,0.4519634835531082,0.3386669569982316,0.46080814583183227,0.4519634835531082,0.3121110332702044,0.4519634835531082,0.4519634835531082,MSI,224,resnet50_randominit
imagestats_rgb_34,0.38815063325264715,0.2648201282314065,0.38360900076593457,0.38360900076593457,0.2856454527280336,0.4102633500418918,0.38360900076593457,0.265598245370332,0.38360900076593457,0.38360900076593457,RGB,34,imagestats
mosaiks_512_3_rgb_34,0.31373555462527103,0.20360873857551604,0.3080919949489722,0.3080919949489722,0.22418428119111225,0.34130031461339705,0.3080919949489722,0.20134092774869697,0.3080919949489722,0.3080919949489722,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.3153009481562801,0.2068552667694404,0.3094789575009833,0.3094789575009833,0.2282988977336958,0.3442460763414561,0.3094789575009833,0.20461632582513678,0.3094789575009833,0.3094789575009833,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.3479390731127877,0.23675830348314833,0.3546069927753742,0.35460699277537416,0.24778667401785803,0.35903508128517664,0.35460699277537416,0.24192655766301807,0.35460699277537416,0.35460699277537416,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.26829646327183254,0.17372360193183567,0.27250709006976215,0.27250709006976215,0.18480240087083263,0.2805276332572152,0.27250709006976215,0.17806726942700923,0.27250709006976215,0.27250709006976215,RGB,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_rgb_34,0.4590015503637527,0.3132025267699195,0.47763264123211957,0.47763264123211957,0.3605293906794872,0.47086401924779103,0.47763264123211957,0.31818532144071493,0.47763264123211957,0.47763264123211957,RGB,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_rgb_224,0.5307475506871159,0.39459194517723584,0.5452832922764816,0.5452832922764816,0.43636187823725464,0.5399718552568771,0.5452832922764816,0.3944320710733279,0.5452832922764816,0.5452832922764816,RGB,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_rgb_34,0.5023361256982138,0.36654373688681297,0.514459602128056,0.514459602128056,0.41672431408003086,0.528671324310254,0.514459602128056,0.3658292063514656,0.514459602128056,0.514459602128056,RGB,34,resnet50_pretrained_moco
resnet50_pretrained_moco_rgb_224,0.5508981855560809,0.41206979654654935,0.5602707682116463,0.5602707682116463,0.4416295182579444,0.5602909191687874,0.5602707682116463,0.4141530692255498,0.5602707682116463,0.5602707682116463,RGB,224,resnet50_pretrained_moco
resnet50_randominit_rgb_34,0.25114931775760374,0.15614708794804166,0.29084811725008797,0.29084811725008797,0.1968901067859938,0.30106691581262557,0.29084811725008797,0.17666690410924027,0.29084811725008797,0.29084811725008797,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.3380650605420745,0.22640468556055396,0.33910199349990683,0.33910199349990683,0.24920482868858768,0.36547427156326284,0.33910199349990683,0.22646214209615542,0.33910199349990683,0.33910199349990683,RGB,224,resnet50_randominit
